id,category,question,option_a,option_b,option_c,option_d,correct
1,Anatomie générale et fonctionnelle,Quel os est situé dans le bras ?,Fémur,Tibia,Humérus,Péroné,C
2,Anatomie générale et fonctionnelle,Où se trouve le fémur ?,Bras,Jambe,Cou,Abdomen,B
3,Anatomie générale et fonctionnelle,Combien d’os comporte le squelette humain adulte ?,206,210,201,198,A
4,Anatomie générale et fonctionnelle,Quel muscle est responsable de la flexion du coude ?,Triceps,Biceps,Deltoïde,Pectoral,B
5,Anatomie générale et fonctionnelle,Quel est le rôle principal du squelette ?,Circuler le sang,Protéger les organes,Digérer les aliments,Produire des hormones,B
6,Anatomie générale et fonctionnelle,Où se trouve le radius ?,Bras,Jamabe,Tête,Cou,A
7,Anatomie générale et fonctionnelle,Quel est l’os du crâne ?,Clavicule,Tibia,Pariétal,Fémur,C
8,Anatomie générale et fonctionnelle,Quel muscle permet l’élévation de l’épaule ?,Deltoïde,Biceps,Trapèze,Quadriceps,C
9,Anatomie générale et fonctionnelle,Quelle est la fonction des ligaments ?,Relier les os entre eux,Produire du sang,Filtrer le sang,Digérer les graisses,A
10,Anatomie générale et fonctionnelle,Quel est l’os du poignet ?,Scaphoïde,Fémur,Péroné,Coccyx,A
11,Anatomie générale et fonctionnelle,Où se trouve le muscle pectoral ?,Torse,Jambe,Bras,Dos,A
12,Anatomie générale et fonctionnelle,Quel muscle permet l’extension du genou ?,Biceps,Triceps,Quadriceps,Sterno-cléido-mastoïdien,C
13,Anatomie générale et fonctionnelle,Quel est le rôle de la moelle osseuse ?,Filtration sanguine,Production de cellules sanguines,Transmission nerveuse,Digestion,B
14,Anatomie générale et fonctionnelle,Quel os est pair dans le crâne ?,Frontal,Temporal,Sphénoïde,Ethmoïde,B
15,Anatomie générale et fonctionnelle,Quel est l’os du bras le plus long ?,Ulna,Radius,Humérus,Scapula,C
16,Anatomie générale et fonctionnelle,Que relie une articulation ?,Deux muscles,Deux nerfs,Deux os,Deux artères,C
17,Anatomie générale et fonctionnelle,Le muscle trapèze est situé sur le/la...,Tête,Bras,Dos,Ventre,C
18,Anatomie générale et fonctionnelle,Lequel est un os plat ?,Fémur,Scapula,Tibia,Fibula,B
19,Anatomie générale et fonctionnelle,Combien de vertèbres lombaires possède-t-on ?,5,7,12,4,A
20,Anatomie générale et fonctionnelle,Quel muscle est situé dans la cuisse ?,Biceps brachial,Triceps sural,Quadriceps,Grand dorsal,C
21,Physiologie,Quel est le rôle principal du cœur ?,Filtrer l’air,Propulser le sang,Digérer les nutriments,Produire des hormones,B
22,Physiologie,Quel organe régule le taux de glucose sanguin ?,Foie,Estomac,Pancréas,Rein,C
23,Physiologie,Quel est le rôle de l’hémoglobine ?,Transporter le glucose,Transporter l’oxygène,Filtrer les déchets,Produire des hormones,B
24,Physiologie,Quel organe produit la bile ?,Pancréas,Foie,Estomac,Intestin grêle,B
25,Physiologie,Où se passe la majorité de l’absorption des nutriments ?,Estomac,Gros intestin,Intestin grêle,Bouche,C
26,Physiologie,Quelle hormone abaisse la glycémie ?,Glucagon,Insuline,Adrénaline,Cortisol,B
27,Physiologie,Quelle est la fréquence cardiaque normale au repos ?,30-40 bpm,50-60 bpm,60-100 bpm,100-140 bpm,C
28,Physiologie,Quel est le rôle du rein ?,Produire l’insuline,Filtrer le sang,Stocker le sang,Produire des enzymes,B
29,Physiologie,Quel gaz est expulsé par les poumons ?,Oxygène,CO₂,Azote,Hélium,B
30,Physiologie,Quelle glande est responsable de la croissance ?,Thyroïde,Pancréas,Hypophyse,Surrénale,C
31,Physiologie,Que fait la sueur ?,Hydrate la peau,Élimine les toxines,Diminue la température corporelle,Nourrit les muscles,C
32,Physiologie,Lequel est un muscle involontaire ?,Quadriceps,Biceps,Cardiaque,Deltoïde,C
33,Physiologie,Où se forment les globules rouges ?,Foie,Rein,Moelle osseuse,Rate,C
